Date,Date (Days),Date (Years),Date Part (Years),Episode Title,Full Title,Movies or Series,Season,Title,Title + Season,Type,Type (group),avg titles per year,Documentary,Hours/Day,Length,Movie,Number of Records,Series
10/26/2013,"October 26, 2013",2013,2013,,The Woman in Black,False,,The Woman in Black,,Movie,Movies,1,,1.583333333,95,1,1,
10/27/2013,"October 27, 2013",2013,2013,,Surrogates,False,,Surrogates,,Movie,Movies,1,,1.733333333,104,1,1,
11/9/2013,"November 9, 2013",2013,2013,,Pineapple Express,False,,Pineapple Express,,Movie,Movies,1,,1.866666667,112,1,1,
11/24/2013,"November 24, 2013",2013,2013,Bushwhacked,Firefly: Season 1: Bushwhacked,True,Season 1,Firefly,FireflySeason 1,Series,Series,1,,0.833333333,50,,1,1
11/24/2013,"November 24, 2013",2013,2013,The Train Job,Firefly: Season 1: The Train Job,True,Season 1,Firefly,FireflySeason 1,Series,Series,1,,0.833333333,50,,1,1
11/24/2013,"November 24, 2013",2013,2013,VideoEpisode,SHOW: SEASON: VideoEpisode,True,SEASON,SHOW,SHOWSEASON,Series,Series,1,,0.833333333,50,,1,1
11/24/2013,"November 24, 2013",2013,2013,Calamity Jen,The IT Crowd: Series 1: Calamity Jen,True,Series 1,The IT Crowd,The IT CrowdSeries 1,Series,Series,1,,0.333333333,20,,1,1
11/24/2013,"November 24, 2013",2013,2013,Yesterday's Jam,The IT Crowd: Series 1: Yesterday's Jam,True,Series 1,The IT Crowd,The IT CrowdSeries 1,Series,Series,1,,0.333333333,20,,1,1
11/27/2013,"November 27, 2013",2013,2013,Shindig,Firefly: Season 1: Shindig,True,Season 1,Firefly,FireflySeason 1,Series,Series,1,,0.833333333,50,,1,1
11/28/2013,"November 28, 2013",2013,2013,Fifty-Fifty,The IT Crowd: Series 1: Fifty-Fifty,True,Series 1,The IT Crowd,The IT CrowdSeries 1,Series,Series,1,,0.333333333,20,,1,1
12/1/2013,"December 1, 2013",2013,2013,,Carrie,False,,Carrie,,Movie,Movies,1,,1.666666667,100,1,1,
12/5/2013,"December 5, 2013",2013,2013,VideoEpisode,SHOW: SEASON: VideoEpisode,True,SEASON,SHOW,SHOWSEASON,Series,Series,1,,0.833333333,50,,1,1
12/14/2013,"December 14, 2013",2013,2013,,Hard Candy,False,,Hard Candy,,Movie,Movies,1,,1.733333333,104,1,1,
12/17/2013,"December 17, 2013",2013,2013,,Lawless,False,,Lawless,,Movie,Movies,1,,1.933333333,116,1,1,
2/27/2014,"February 27, 2014",2014,2014,Safe,Firefly: Season 1: Safe,True,Season 1,Firefly,FireflySeason 1,Series,Series,1,,0.833333333,50,,1,1
