Category,Season Title,Show Title,type,Week,count of shows,Cumulative Weeks In Top 10,Weekly Hours Viewed,Weekly Rank
Films (English),N/A,Red Notice,Film,11/21/2021,1,2,129110000,1
Films (English),N/A,The Princess Switch 3: Romancing the Star,Film,11/21/2021,1,1,24770000,2
Films (English),N/A,Love Hard,Film,11/21/2021,1,3,21240000,3
Films (English),N/A,Central Intelligence,Film,11/21/2021,1,1,14910000,4
Films (English),N/A,The Harder They Fall,Film,11/21/2021,1,3,13770000,5
Films (English),N/A,The Croods,Film,11/21/2021,1,1,13430000,6
Films (English),N/A,Army of Thieves,Film,11/21/2021,1,4,12260000,7
Films (English),N/A,Trolls,Film,11/21/2021,1,1,10120000,8
Films (English),N/A,6 Underground,Film,11/21/2021,1,1,7770000,9
Films (English),N/A,Goosebumps 2: Haunted Halloween,Film,11/21/2021,1,1,7680000,10
Films (Non-English),N/A,Just Short of Perfect,Film,11/21/2021,1,1,9630000,1
Films (Non-English),N/A,7 Prisoners,Film,11/21/2021,1,2,9570000,2
Films (Non-English),N/A,Yara,Film,11/21/2021,1,3,5660000,3
Films (Non-English),N/A,Prayers for the Stolen,Film,11/21/2021,1,1,4700000,4
Films (Non-English),N/A,Dhamaka,Film,11/21/2021,1,1,4200000,5
Films (Non-English),N/A,Love Me Instead,Film,11/21/2021,1,1,3000000,6
Films (Non-English),N/A,The Claus Family,Film,11/21/2021,1,3,2420000,7
Films (Non-English),N/A,Earwig and the Witch,Film,11/21/2021,1,1,2100000,8
Films (Non-English),N/A,The Forgotten Battle,Film,11/21/2021,1,6,1940000,9
Films (Non-English),N/A,Meenakshi Sundareshwar,Film,11/21/2021,1,3,1900000,10
TV (English),Arcane: Season 1,Arcane,TV,11/21/2021,1,2,38420000,1
TV (English),Tiger King 2,Tiger King,TV,11/21/2021,1,1,30030000,2
TV (English),Narcos: Mexico: Season 3,Narcos: Mexico,TV,11/21/2021,1,3,27540000,3
TV (English),Maid: Limited Series,Maid,TV,11/21/2021,1,8,23920000,4
TV (English),You: Season 3,You,TV,11/21/2021,1,6,23460000,5
TV (English),Cowboy Bebop: Season 1,Cowboy Bebop,TV,11/21/2021,1,1,21630000,6
TV (English),Dynasty: Season 4,Dynasty,TV,11/21/2021,1,5,15060000,7
TV (English),Locke & Key: Season 2,Locke & Key,TV,11/21/2021,1,5,12340000,8
TV (English),You: Season 2,You,TV,11/21/2021,1,5,11670000,9
TV (English),Big Mouth: Season 5,Big Mouth,TV,11/21/2021,1,3,11410000,10
TV (Non-English),Hellbound: Season 1,Hellbound,TV,11/21/2021,1,1,43480000,1
TV (Non-English),The Queen of Flow: Season 2,The Queen of Flow,TV,11/21/2021,1,1,38640000,2
